Season,Date,Opponent,Result,Location,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO_Won,FOsTaken,Goals_Allowed
2024,02/03/2024,Denver,L,home,12,7,19,35,20,21,15,3,12,26,13
2024,02/06/2024,Towson,W,home,13,10,23,43,23,40,16,10,13,21,5
2024,02/10/2024,Georgetown,W,away,11,6,17,44,22,28,13,9,15,23,9
2024,02/17/2024,Loyola Maryland,W,home,13,6,19,45,30,35,14,12,13,24,7
2024,02/24/2024,North Carolina,W,away,13,8,21,41,24,36,13,7,11,26,9
2024,03/02/2024,Virginia,W,away,16,10,26,42,27,44,15,11,20,34,14
2024,03/09/2024,Syracuse,L,neutral,13,9,22,36,24,25,14,7,9,31,14
2024,03/15/2024,Navy,L,home,9,5,14,39,21,30,14,9,10,23,10
2024,03/24/2024,Rutgers,W,away,13,7,20,33,23,19,14,2,11,23,8
2024,03/30/2024,Michigan,W,home,15,10,25,43,27,24,13,13,11,29,11
2024,04/06/2024,Penn St,W,home,9,4,13,34,25,29,9,14,11,21,8
2024,04/14/2024,Ohio St,W,away,11,4,15,36,22,33,16,9,10,24,10
2024,04/20/2024,Maryland,W,home,7,3,10,30,17,19,15,7,6,15,5
2024,05/02/2024,Michigan,L,neutral,7,5,12,25,15,27,17,5,14,20,10
2024,05/12/2024,Lehigh,W,home,13,6,19,36,22,32,14,8,12,27,10
2024,05/19/2024,Virginia,L,neutral,10,9,19,36,19,27,25,6,10,26,11